Case ID,Type,Latitude,Longitude,Municipality,Stage Status,Task Order Date,Subcontractor NTP
PR-R3-10514,Relocation,18.27904,-66.39461,Morovis,15 - Construction Complete,2025-05-19,2025-08-05
PR-R3-11951,Relocation,18.31852,-66.22266,Naranjito,04 - Construction - Started,2025-05-29,
PR-R3-14132,Relocation,18.16768,-67.0982,Mayagüez,13 - Final Inspection,2025-04-30,
PR-R3-14937,Relocation,18.09137,-67.14555,Cabo Rojo,03 - Design & Permitting,2025-04-30,
PR-R3-15184 (BR),Relocation,18.129,-66.48813,Villalba,15 - Construction Complete,2025-04-30,2025-09-30
PR-R3-16138,Relocation,18.36871,-66.13484,Guaynabo,03 - Design & Permitting,2025-05-29,
PR-R3-17129,Relocation,18.48496,-66.56979,Barceloneta,15 - Construction Complete,2025-04-30,
PR-R3-17475,Relocation,18.06044,-66.87878,Yauco,15 - Construction Complete,2025-04-30,2025-10-13
PR-R3-17476,Relocation,18.04957,-65.87743,Yabucoa,03 - Design & Permitting,2025-07-09,
PR-R3-18505,Relocation,18.4319,-66.43101,Vega Baja,15 - Construction Complete,2025-04-30,
PR-R3-21069,Relocation,18.40052,-66.18635,Bayamón,15 - Construction Complete,2025-04-29,2025-10-15
PR-R3-23529,Relocation,18.12768,-67.02356,San Germán,03 - Design & Permitting,2025-04-30,
PR-R3-24851,Relocation,18.22804,-67.16732,Mayagüez,15 - Construction Complete,2025-05-23,2025-10-20
PR-R3-25417,Relocation,18.05089,-66.54709,Ponce,15 - Construction Complete,2025-04-30,
PR-R3-26472 (BR),Relocation,17.97872,-66.61646,Ponce,04 - Construction - Started,2025-04-29,
PR-R3-23922,Reconstruction,18.42979,-66.65067,Arecibo,11 - Structure Inspection,2025-05-21,2025-09-29
PR-R3-25531,Reconstruction,18.47347,-66.65071,Arecibo,03 - Design & Permitting,2025-05-21,
PR-SFM-02833,Reconstruction,18.31318,-66.38738,Morovis,04 - Construction - Started,2025-05-15,2025-11-18
PR-R3-07131,Reconstruction,18.47804,-66.69698,Arecibo,03 - Design & Permitting,2025-04-25,
PR-R3-07237,Reconstruction,18.40086,-66.60016,Arecibo,03 - Design & Permitting,2025-05-07,
PR-EQK-00509,Relocation,18.00461,-66.89323,Guánica,03 - Design & Permitting,2025-05-12,
PR-EQK-00610,Reconstruction,18.03508,-66.97281,Lajas,04 - Construction - Started,2025-05-08,
PR-EQK-00667,Reconstruction,18.06695,-66.76066,Peñuelas,04 - Construction - Started,2025-05-19,
PR-EQK-03012,Reconstruction,18.00367,-67.07123,Lajas,03 - Design & Permitting,2025-05-08,
PR-R3-01373,Reconstruction,17.96378,-66.37358,Santa Isabel,04 - Construction - Started,2025-05-21,
PR-EQK-00458,Reconstruction,17.96096,-66.93308,Guánica,03 - Design & Permitting,2025-05-21,
PR-EQK-00465,Reconstruction,17.99181,-66.66117,Ponce,03 - Design & Permitting,2025-07-09,
PR-EQK-00499,Reconstruction,17.96116,-66.93376,Guánica,03 - Design & Permitting,2025-06-16,
PR-EQK-00511,Reconstruction,17.97676,-66.88705,Guánica,03 - Design & Permitting,2025-11-06,
PR-EQK-00565,Reconstruction,17.97923,-66.88368,Guánica,03 - Design & Permitting,2025-06-23,
PR-EQK-00650,Reconstruction,18.04153,-67.07691,Lajas,07 - Foundation Inspection,2025-05-27,2025-12-02
PR-EQK-00918,Reconstruction,18.00983,-66.85847,Yauco,03 - Design & Permitting,2025-06-05,
PR-EQK-00964,Reconstruction,17.97946,-66.88543,Guánica,03 - Design & Permitting,2025-05-27,
PR-EQK-00973,Reconstruction,17.96533,-66.94202,Guánica,03 - Design & Permitting,2025-06-23,
PR-EQK-01136,Reconstruction,17.98028,-66.88467,Guánica,03 - Design & Permitting,2025-06-04,
PR-EQK-01197,Reconstruction,17.99582,-66.71449,Peñuelas,03 - Design & Permitting,2025-10-13,
PR-EQK-01214,Reconstruction,18.00559,-66.90186,Guánica,04 - Construction - Started,2025-07-08,
PR-EQK-01217,Reconstruction,17.98536,-66.9213,Guánica,03 - Design & Permitting,2025-07-09,
PR-EQK-01224,Reconstruction,18.01236,-66.86538,Yauco,03 - Design & Permitting,2025-06-27,
PR-R3-07321,Repair,18.44424,-66.18642,Toa Baja,15 - Construction Complete,2021-10-15,2025-08-27
PR-EQK-00957,Reconstruction,17.99667,-66.65448,Ponce,03 - Design & Permitting,2026-01-09,
PR-R3-07975 (BR),Reconstruction,18.39844,-66.30636,Vega Alta,00 - Reassigned,2022-02-23,
PR-R3-19022 (BR),Reconstruction,18.31255,-65.2991,Culebra,00 - Reassigned,2022-06-24,
PR-R3-22958,Reconstruction,18.23532,-66.20269,Comerío,00 - Reassigned,2022-05-20,
PR-R3-25820 (BR),Reconstruction,18.34874,-66.08677,San Juan,00 - Reassigned,2021-02-10,
PR-R3-15146,Relocation,18.21528,-66.38004,Orocovis,15 - Construction Complete,2025-06-04,2025-08-20
PR-R3-00537,Relocation,18.15825,-66.47838,Villalba,15 - Construction Complete,2025-07-24,
PR-R3-00888,Relocation,18.19522,-66.45203,Orocovis,03 - Design & Permitting,2025-09-03,
PR-R3-01542,Relocation,18.3604,-66.40421,Morovis,03 - Design & Permitting,2025-08-11,
PR-R3-01820,Relocation,18.24131,-66.41949,Orocovis,03 - Design & Permitting,2025-08-11,
PR-R3-01944,Relocation,18.0936,-66.20724,Cayey,15 - Construction Complete,2025-08-06,2025-10-15
PR-R3-01975,Relocation,18.16447,-65.76034,Humacao,15 - Construction Complete,2025-07-01,
PR-R3-02509,Relocation,18.37818,-66.21784,Toa Alta,03 - Design & Permitting,2025-07-03,
PR-R3-02526,Relocation,18.36241,-65.84285,Río Grande,15 - Construction Complete,2025-07-01,2025-09-19
PR-R3-03312 (BR),Relocation,18.24738,-66.70188,Utuado,15 - Construction Complete,2025-08-06,2025-09-30
PR-R3-04703,Relocation,18.28772,-67.18933,Añasco,15 - Construction Complete,2025-06-12,2025-07-29
PR-R3-05009,Relocation,18.17721,-66.34687,Barranquitas,15 - Construction Complete,2025-06-19,2025-10-20
PR-R3-08556,Repair,18.29849,-65.94148,Carolina,03 - Design & Permitting,2025-07-17,
PR-R3-08943 (BR),Relocation,18.04284,-66.44947,Juana Díaz,15 - Construction Complete,2025-08-04,
PR-R3-09324 (BR),Relocation,18.0531,-66.5855,Ponce,15 - Construction Complete,2025-05-28,2025-08-09
PR-R3-09893,Relocation,18.08834,-66.229,Salinas,15 - Construction Complete,2025-07-17,
PR-R3-10254 (BR),Relocation,18.42603,-66.49631,Manatí,15 - Construction Complete,2025-07-30,10/6/205
PR-R3-10854,Relocation,18.00264,-66.92005,Guánica,15 - Construction Complete,2025-06-11,2025-08-20
PR-R3-11101,Relocation,18.43467,-66.42454,Vega Baja,15 - Construction Complete,2025-07-08,
PR-R3-15567,Relocation,18.37785,-66.21922,Toa Alta,15 - Construction Complete,2025-08-13,
PR-R3-15738,Relocation,18.15929,-65.75835,Humacao,15 - Construction Complete,2025-08-12,
PR-R3-16476,Relocation,18.32879,-66.26669,Naranjito,15 - Construction Complete,2025-08-11,2025-10-15
PR-R3-16493,Relocation,18.07041,-66.32591,Coamo,15 - Construction Complete,2025-07-17,2025-09-19
PR-R3-21729,Relocation,18.4194,-66.32718,Vega Alta,15 - Construction Complete,2025-05-30,2025-08-22
PR-R3-22067,Relocation,18.40478,-65.95793,Carolina,13 - Final Inspection,2025-07-17,2025-12-22
PR-R3-22440,Relocation,18.20179,-66.31921,Barranquitas,03 - Design & Permitting,2025-06-26,
PR-R3-23757,Relocation,18.26703,-65.68372,Ceiba,15 - Construction Complete,2025-07-17,2025-10-15
PR-R3-24988,Relocation,17.93567,-66.19836,Guayama,15 - Construction Complete,2025-07-01,2025-09-02
PR-R3-25711,Relocation,18.22688,-66.31409,Barranquitas,15 - Construction Complete,2025-06-18,2025-10-15
PR-R3-26749,Relocation,18.33113,-66.07958,San Juan,03 - Design & Permitting,2025-07-24,
PR-SFM-01311,Relocation,18.03633,-66.84514,Yauco,15 - Construction Complete,2025-06-24,2025-10-28
PR-SFM-01314,Relocation,18.16063,-65.75879,Humacao,04 - Construction - Started,2025-06-17,
PR-SFM-01520,Relocation,18.18292,-67.1642,Mayagüez,15 - Construction Complete,2025-06-12,2026-01-28
PR-SFM-01534,Relocation,18.15419,-65.82553,Humacao,03 - Design & Permitting,2025-07-09,
PR-R3-03328,Relocation,18.24589,-66.70177,Utuado,15 - Construction Complete,2025-06-27,
PR-R3-08798,Relocation,18.32794,-66.27315,Naranjito,15 - Construction Complete,2025-07-08,2025-10-21
PR-R3-12153,Relocation,18.42967,-66.03989,San Juan,03 - Design & Permitting,2025-08-06,
PR-R3-16767,Relocation,18.42604,-66.2338,Toa Baja,15 - Construction Complete,2025-06-10,
