Case ID,Type,Latitude,Longitude,Municipality,Stage Status,Task Order Date,Subcontractor NTP
PR-BR-00518,Relocation,18.34708,-66.19325,Bayamón,03 - Design & Permitting,2025-12-16,
PR-BR-00454,Relocation,18.39218,-66.41434,Vega Baja,03 - Design & Permitting,2025-12-16,
PR-R3-26255,Relocation,18.42627,-66.49334,Manatí,03 - Design & Permitting,2025-10-06,
PR-R3-24893,Relocation,18.27143,-65.93601,Gurabo,03 - Design & Permitting,2026-01-13,
PR-R3-21418,Relocation,18.44676,-66.54996,Barceloneta,15 - Construction Complete,2025-10-06,
PR-R3-20643 (BR),Relocation,18.26283,-67.07328,Añasco,04 - Construction - Started,2025-09-29,
PR-R3-19547,Relocation,18.21851,-66.3981,Orocovis,03 - Design & Permitting,2025-12-16,
PR-R3-19480,Relocation,18.3576,-66.40666,Morovis,03 - Design & Permitting,2025-11-06,
PR-R3-18726,Relocation,17.99838,-66.53075,Juana Díaz,04 - Construction - Started,2025-09-03,
PR-R3-18693,Relocation,18.31639,-65.97951,Trujillo Alto,03 - Design & Permitting,2026-01-14,
PR-R3-17624,Relocation,17.94962,-66.26615,Salinas,03 - Design & Permitting,2025-11-06,
PR-R3-16736,Relocation,18.29071,-66.0485,Caguas,03 - Design & Permitting,2025-12-16,
PR-R3-08563,Relocation,18.35426,-66.45223,Morovis,03 - Design & Permitting,2025-11-11,
PR-R3-07952,Relocation,18.46008,-66.35222,Vega Baja,03 - Design & Permitting,2025-12-16,
PR-R3-07653 (BR),Relocation,18.13659,-66.73367,Adjuntas,03 - Design & Permitting,2025-09-29,
PR-R3-05447 (BR),Relocation,18.08332,-66.36047,Coamo,03 - Design & Permitting,2026-02-19,
PR-R3-03978,Relocation,18.31942,-66.15399,Bayamón,03 - Design & Permitting,2026-01-27,
PR-R3-03612,Relocation,18.41936,-66.4071,Vega Baja,03 - Design & Permitting,2026-02-09,
PR-R3-03050 (BR),Relocation,17.98936,-66.11461,Guayama,03 - Design & Permitting,2026-01-13,
PR-R3-01451,Relocation,18.24999,-66.19592,Comerío,03 - Design & Permitting,2025-11-11,
PR-EQK-00522,Relocation,18.05839,-66.77029,Guayanilla,03 - Design & Permitting,2025-11-11,
PR-R3-12134,Relocation,18.04911,-65.8718,Yabucoa,03 - Design & Permitting,2026-01-14,
PR-SFM-01290,Relocation,18.03861,-66.84393,Yauco,03 - Design & Permitting,2025-10-21,
PR-EQK-00876,Reconstruction,18.03636,-66.8576,Yauco,03 - Design & Permitting,2025-10-29,
PR-SFM-01298,Relocation,18.03598,-66.84602,Yauco,04 - Construction - Started,2025-10-06,
PR-SFM-02236,Relocation,18.03577,-66.84526,Yauco,04 - Construction - Started,2025-10-06,
PR-EQK-03013,Reconstruction,18.029,-66.98486,Lajas,03 - Design & Permitting,2025-11-11,
PR-EQK-00796,Reconstruction,18.01447,-66.87367,Yauco,03 - Design & Permitting,2026-02-04,
PR-R3-10286 (BR),Relocation,18.01148,-66.86937,Yauco,15 - Construction Complete,2025-10-06,
PR-R3-01031 (BR),Relocation,17.98307,-66.63659,Ponce,03 - Design & Permitting,2025-09-29,
PR-EQK-00576,Reconstruction,17.97585,-67.04752,Lajas,16 - Inactive,2025-10-23,
PR-SFM-05130,Reconstruction,18.46243,-66.5966,Arecibo,03 - Design & Permitting,2025-12-17,
PR-SFM-04581,Reconstruction,18.43938,-66.76435,Arecibo,03 - Design & Permitting,2026-01-16,
PR-SFM-02974,Reconstruction,17.97317,-67.18638,Cabo Rojo,03 - Design & Permitting,2025-12-12,
PR-SFM-02752,Reconstruction,17.97151,-67.18923,Cabo Rojo,03 - Design & Permitting,2025-12-09,
PR-SFM-05356,Reconstruction,18.44921,-66.51021,Manatí,03 - Design & Permitting,2025-12-15,
PR-R3-05653,Reconstruction,18.44912,-66.49459,Manatí,03 - Design & Permitting,2025-11-25,
PR-SFM-04595,Reconstruction,18.44009,-66.44752,Manatí,03 - Design & Permitting,2026-01-05,
PR-SFM-04073,Reconstruction,18.09852,-67.17373,Cabo Rojo,03 - Design & Permitting,2025-12-08,
PR-SFM-04409,Reconstruction,18.05736,-66.6954,Peñuelas,03 - Design & Permitting,2025-12-23,
PR-SFM-05247,Reconstruction,18.0414,-67.07683,Lajas,03 - Design & Permitting,2026-01-13,
PR-SFM-04312,Reconstruction,18.03007,-67.16651,Cabo Rojo,03 - Design & Permitting,2026-02-09,
PR-SFM-04324,Reconstruction,18.0278,-67.16212,Cabo Rojo,03 - Design & Permitting,2025-12-19,
PR-SFM-04210,Reconstruction,18.02036,-67.13684,Cabo Rojo,03 - Design & Permitting,2025-12-02,
PR-SFM-04803,Reconstruction,17.99909,-66.87408,Guánica,03 - Design & Permitting,2025-12-29,
PR-SFM-04809,Reconstruction,17.99728,-66.81361,Guayanilla,03 - Design & Permitting,2025-12-31,
PR-SFM-04915,Reconstruction,17.97609,-67.19395,Cabo Rojo,03 - Design & Permitting,2025-12-19,
PR-SFM-04792,Reconstruction,17.97396,-67.18771,Cabo Rojo,03 - Design & Permitting,2026-01-02,
PR-EQK-00647,Reconstruction,18.06325,-66.73073,Peñuelas,03 - Design & Permitting,2026-02-09,
PR-EQK-00536,Reconstruction,18.03296,-66.62021,Ponce,03 - Design & Permitting,2025-12-12,
PR-EQK-00900,Reconstruction,18.03119,-66.86647,Yauco,03 - Design & Permitting,2026-01-20,
PR-EQK-01048,Reconstruction,17.98966,-66.91782,Guánica,03 - Design & Permitting,2026-02-12,
PR-R3-04902,Reconstruction,18.06366,-66.60115,Ponce,03 - Design & Permitting,2025-12-02,
PR-R3-15230,Reconstruction,18.04344,-66.67824,Ponce,03 - Design & Permitting,2025-12-04,
